Species_TTOL	NEO	BOD	BOD2
Homo_sapiens	6.003	4.813	23.164969
Hylobates_lar	4.818	3.756	14.107536
Indri_indri	4.303	3.796	14.409616
Lagothrix_lagotricha	4.819	3.716	13.808656
Lepilemur_mustelinus	3.516	2.961	8.767521
Lophocebus_albigena	4.837	3.898	15.194404
Loris_tardigradus_tardigradus	3.547	2.508	6.290064
Macaca_mulatta	4.803	3.892	15.147664
Microcebus_murinus	2.869	1.732	2.999824
Miopithecus_talapoin	4.422	3.079	9.480241
Nasalis_larvatus	4.804	4.146	17.189316
Nycticebus_coucang	3.792	2.903	8.427409
Otolemur_crassicaudatus	3.674	2.929	8.579041
Pan_troglodytes	5.465	4.663	21.743569
Papio_cynocephalus	5.147	4.398	19.342404
Perodicticus_potto	3.825	3.061	9.369721
Pithecia_monachus	4.323	3.176	10.086976
Piliocolobus_badius	4.707	3.845	14.784025
Propithecus_verreauxi	4.12	3.542	12.545764
Pygathrix_nemaeus	4.688	3.875	15.015625
Saguinus_midas	3.77	2.531	6.405961
Saguinus_oedipus	3.77	2.58	6.6564
Saimiri_sciureus_sciureus	4.191	2.82	7.9524
Tarsius_tarsier	3.247	2.097	4.397409
Varecia_variegata	4.184	3.477	12.089529
